row ID,row m/z,row retention time,01-HLB_221116_pos_iaMSMS_04.mzML Peak area,02-HLB_221116_pos_iaMSMS_02.mzML Peak area,01-HLB_221116_pos_iaMSMS_03.mzML Peak area,01-HLB_221116_pos_iaMSMS_01.mzML Peak area,02-HLB_221116_pos_iaMSMS_01.mzML Peak area,01-HLB_221116_pos_iaMSMS_02.mzML Peak area,02-HLB_221116_pos_iaMSMS_04.mzML Peak area,02-HLB_221116_pos_iaMSMS_03.mzML Peak area,03-HLB_221116_pos_iaMSMS_04.mzML Peak area,04-HLB_221116_pos_iaMSMS_04.mzML Peak area,03-HLB_221116_pos_iaMSMS_03.mzML Peak area,04-HLB_221116_pos_iaMSMS_03.mzML Peak area,04-HLB_221116_pos_iaMSMS_02.mzML Peak area,04-HLB_221116_pos_iaMSMS_01.mzML Peak area,03-HLB_221116_pos_iaMSMS_01.mzML Peak area,03-HLB_221116_pos_iaMSMS_02.mzML Peak area,06-HLB_221116_pos_iaMSMS_04.mzML Peak area,05-HLB_221116_pos_iaMSMS_04.mzML Peak area,06-HLB_221116_pos_iaMSMS_03.mzML Peak area,05-HLB_221116_pos_iaMSMS_03.mzML Peak area,07-HLB_221116_pos_iaMSMS_04.mzML Peak area,05-HLB_221116_pos_iaMSMS_02.mzML Peak area,05-HLB_221116_pos_iaMSMS_01.mzML Peak area,07-HLB_221116_pos_iaMSMS_03.mzML Peak area,06-HLB_221116_pos_iaMSMS_01.mzML Peak area,06-HLB_221116_pos_iaMSMS_02.mzML Peak area,08-HLB_221116_pos_iaMSMS_03.mzML Peak area,09-HLB_221116_pos_iaMSMS_03.mzML Peak area,09-HLB_221116_pos_iaMSMS_04.mzML Peak area,08-HLB_221116_pos_iaMSMS_04.mzML Peak area,08-HLB_221116_pos_iaMSMS_01.mzML Peak area,07-HLB_221116_pos_iaMSMS_02.mzML Peak area,07-HLB_221116_pos_iaMSMS_01.mzML Peak area,08-HLB_221116_pos_iaMSMS_02.mzML Peak area,10-HLB_221116_pos_iaMSMS_04.mzML Peak area,10-HLB_221116_pos_iaMSMS_03.mzML Peak area,09-HLB_221116_pos_iaMSMS_01.mzML Peak area,09-HLB_221116_pos_iaMSMS_02.mzML Peak area,11-HLB_221116_pos_iaMSMS_04.mzML Peak area,11-HLB_221116_pos_iaMSMS_03.mzML Peak area,11-HLB_221116_pos_iaMSMS_02.mzML Peak area,11-HLB_221116_pos_iaMSMS_01.mzML Peak area,12-HLB_221116_pos_iaMSMS_03.mzML Peak area,12-HLB_221116_pos_iaMSMS_04.mzML Peak area,10-HLB_221116_pos_iaMSMS_01.mzML Peak area,13-HLB_221116_pos_iaMSMS_03.mzML Peak area,13-HLB_221116_pos_iaMSMS_04.mzML Peak area,14-HLB_221116_pos_iaMSMS_04.mzML Peak area,10-HLB_221116_pos_iaMSMS_02.mzML Peak area,14-HLB_221116_pos_iaMSMS_03.mzML Peak area,12-HLB_221116_pos_iaMSMS_01.mzML Peak area,15-HLB_221116_pos_iaMSMS_03.mzML Peak area,13-HLB_221116_pos_iaMSMS_01.mzML Peak area,12-HLB_221116_pos_iaMSMS_02.mzML Peak area,13-HLB_221116_pos_iaMSMS_02.mzML Peak area,15-HLB_221116_pos_iaMSMS_04.mzML Peak area,15-HLB_221116_pos_iaMSMS_01.mzML Peak area,16-HLB_221116_pos_iaMSMS_04.mzML Peak area,15-HLB_221116_pos_iaMSMS_02.mzML Peak area,16-HLB_221116_pos_iaMSMS_03.mzML Peak area,14-HLB_221116_pos_iaMSMS_01.mzML Peak area,17-HLB_221116_pos_iaMSMS_03.mzML Peak area,14-HLB_221116_pos_iaMSMS_02.mzML Peak area,17-HLB_221116_pos_iaMSMS_04.mzML Peak area,16-HLB_221116_pos_iaMSMS_02.mzML Peak area,18-HLB_221116_pos_iaMSMS_04.mzML Peak area,17-HLB_221116_pos_iaMSMS_02.mzML Peak area,18-HLB_221116_pos_iaMSMS_03.mzML Peak area,16-HLB_221116_pos_iaMSMS_01.mzML Peak area,17-HLB_221116_pos_iaMSMS_01.mzML Peak area,18-HLB_221116_pos_iaMSMS_02.mzML Peak area,18-HLB_221116_pos_iaMSMS_01.mzML Peak area,19-HLB_221116_pos_iaMSMS_04.mzML Peak area,20-HLB_221116_pos_iaMSMS_04.mzML Peak area,19-HLB_221116_pos_iaMSMS_03.mzML Peak area,20-HLB_221116_pos_iaMSMS_01.mzML Peak area,20-HLB_221116_pos_iaMSMS_02.mzML Peak area,20-HLB_221116_pos_iaMSMS_03.mzML Peak area,19-HLB_221116_pos_iaMSMS_01.mzML Peak area,19-HLB_221116_pos_iaMSMS_02.mzML Peak area
1463,107.08445,7.4496775,97.145706,52.971714,143.97275,136.09105,73.18942,117.41352,37.272022,0,193.42969,235.73639,184.33029,233.20825,567.05304,301.31738,200.05626,181.47408,0,279.31284,385.5232,679.9963,1167.5399,722.72845,320.231,1098.48,373.8333,393.58023,778.9192,256.17014,296.69315,299.2521,791.62305,1170.9226,1196.2163,766.12024,338.2589,1019.67175,577.5247,589.0101,27.527021,0,11.812017,0,510.2307,1255.9857,438.21582,120.410645,0,406.78455,911.9227,350.55295,637.3637,0,133.31688,1327.7946,122.90502,0,0,0,0,0,345.9269,0,0,0,3.2476473,0,0,0,0,0,0,0,389.6181,11.980898,381.7361,0,0,10.862935,762.89484,403.52994
5607,107.0848994,11.760937,110.62338,83.334045,103.02911,138.73996,113.89338,130.44908,119.73007,111.86453,233.19263,217.2089,277.54584,174.70374,272.41132,253.77156,235.54868,281.50766,668.17645,511.56973,793.39154,517.9666,843.48584,590.14575,454.0258,848.79407,762.85016,743.0331,473.31555,246.87714,406.66034,572.22095,400.01953,820.6996,728.2326,453.13397,497.52396,437.20422,341.27356,319.97137,0,0,0,0,703.74445,760.16876,477.46466,105.92161,208.30707,306.3062,503.4433,311.1236,812.4972,0,96.7702,657.85645,176.78809,0,0,0,0,0,293.0543,0,370.26395,0,0,0,0,0,10.742792,0,0,0,396.8999,0,320.7375,0,15.8097515,0,309.88617,351.5663
181,107.5417102,4.778338,0,123.42804,0,0,94.051346,84.15985,124.50185,72.92929,128.06473,58.85299,107.40403,68.19327,45.492523,67.98137,45.046585,0,126.02423,66.362915,209.07516,0,332.7322,87.47297,25.751562,314.81467,181.18494,175.89275,80.640854,143.60732,166.56288,127.96925,103.40759,743.0919,637.03015,99.79556,146.46143,152.48425,162.65292,162.9614,0,65.11672,88.25365,0,297.01886,323.97244,180.35054,244.59094,290.82892,420.6659,203.15291,471.41644,322.86456,0,277.42886,322.676,300.31934,0,0,426.94818,0,307.5638,828.6712,126.414825,395.29706,119.31949,369.62854,297.96875,97.21059,274.66364,385.60858,127.6198,283.53513,329.62344,348.75458,979.3472,397.76715,1125.6831,992.9197,1084.9373,348.3492,342.93127
9355,109.0970793,17.792963,1420.742,426.05396,1491.5575,1196.6259,536.62134,1201.3004,437.13046,398.64908,944.0193,359.86053,1135.7562,508.31223,444.7207,470.06683,1265.1995,1190.8901,703.76526,621.62933,666.4978,455.5647,246.31421,570.1619,548.7813,211.25574,757.2498,756.7397,429.33762,461.3382,498.02792,320.2871,454.00363,316.438,245.5333,239.08415,1589.5083,1574.215,544.24945,573.305,809.286,775.964,815.3239,805.7658,236.78897,252.29349,1537.3517,414.12418,404.69507,553.41205,1574.8054,555.55347,385.30734,704.1515,437.09473,370.093,483.8496,659.5521,587.8455,327.6766,710.86926,497.18414,472.60895,625.175,567.6994,509.83557,574.26105,557.95935,675.65424,452.6089,455.30487,677.1265,639.5016,450.1512,0,373.14642,227.73282,83.25602,122.68623,255.09807,388.30554,380.4367
10639,109.0972984,19.7856,1676.7202,986.91077,2205.0918,2009.5736,903.7348,2265.505,916.6757,800.83813,0,669.6742,0,917.577,1005.57837,864.51794,0,0,0,0,256.4275,0,567.43823,0,0,745.4263,230.57956,395.28293,0,1756.3835,1412.6796,0,0,786.8893,728.5896,0,2441.0464,2623.6377,2001.3522,1841.0706,0,247.07143,113.660614,200.08774,211.76642,0,2965.8152,1285.4581,1169.9634,2444.6301,3062.5798,2511.5686,0,0,1455.8175,0,1372.4476,0,112.97258,1441.3247,95.31445,1281.9664,2534.7976,540.82996,2470.0024,589.5425,1603.9182,304.18842,796.1015,281.95752,1458.0607,656.9446,346.1715,131.42455,0,0,0,0,0,0,0,0
10854,109.0978233,20.125395,2640.5913,1161.4264,2477.8364,2712.3306,1108.706,2584.9873,1116.8052,1164.7708,0,1152.1018,0,767.54016,1046.8978,1046.7015,0,0,295.30542,0,313.7185,0,993.05835,0,0,947.7086,518.4177,410.04837,0,2296.9595,2271.5195,0,0,981.3887,1013.6063,0,3448.5615,3599.1523,2496.4949,2314.6038,317.62747,0,169.77722,527.704,0,0,3995.817,1561.4199,1748.8252,3111.9614,3601.4412,2524.1245,0,0,1420.5996,0,1614.3258,0,157.34601,1494.4861,0,1408.9359,3052.3828,525.5622,3296.4258,513.86566,1765.5972,347.03995,683.40894,369.5373,1775.0334,772.3702,295.1772,376.0559,0,0,0,0,0,0,0,0
9209,109.0982939,17.556343,3765.9814,936.14655,3485.283,3172.5784,974.58575,3640.5427,922.5721,1122.1033,2215.747,698.7277,2252.4028,871.9757,828.07666,840.57544,2200.8103,2250.8538,990.9159,1082.5676,1285.972,1059.3633,484.70468,990.5838,922.233,629.827,1239.3956,1118.0087,775.04645,1158.7192,990.1321,784.8463,937.42834,593.6287,621.6023,917.2505,4080.52,3869.0203,1238.4175,1507.2728,1470.4633,1442.3369,1657.5066,1387.8218,649.4593,653.0822,4151.3438,802.02155,823.95703,1846.0514,4072.8296,1991.3097,783.74927,1213.3235,990.2201,718.70447,969.3697,1161.8534,1126.9208,957.493,1080.7194,1196.4966,1768.0011,1276.2164,1366.1025,1089.1487,1434.5929,1037.5363,1214.081,1052.9143,1074.4069,1095.7487,973.2067,1100.3656,569.4916,567.1482,629.5328,635.8458,650.3989,542.1557,755.2066,750.87537
4182,109.1003813,9.764712,1605.6289,608.85767,1699.7811,1704.2705,564.48596,1745.951,453.83914,579.1359,1783.9431,1386.3962,2059.8984,1480.9647,1345.6948,1465.3615,1957.2799,2046.9269,6048.5103,4287.234,6388.4194,4600.385,5040.071,4549.0435,4563.2593,5091.065,6664.2686,6755.464,2154.3672,2400.8125,2517.566,2013.3423,2375.9624,4873.5967,4818.312,2334.3667,3645.242,3486.72,2333.164,2242.9407,0,0,0,0,6200.701,6231.62,3613.2432,1137.0209,1024.7784,1784.0686,3584.4788,1830.134,5994.2,0,935.0965,5787.357,1172.207,0,0,0,0,0,2127.0444,0,2071.5122,0,0,0,0,0,0,0,0,0,2892.0222,0,3078.5342,0,0,0,2871.9238,2793.8406
2510,111.0753523,8.198529,4340.1855,3042.8457,4928.28,3292.9785,4593.15,5059.2666,4619.9673,2858.5142,5105.891,9354.506,4942.0894,8971.519,9991.6045,9694.598,4911.6543,5512.435,9577.018,4719.1133,11674.884,10192.398,3849.9922,9792.826,9453.456,6636.592,11925.751,11315.904,8002.1875,9711.274,9223.312,7043.608,11315.247,3883.9438,3085.3567,6708.8315,4637.286,5184.6616,8259.22,11633.922,0,0,0,0,3882.1106,3090.4817,10921.494,2806.9902,3245.334,7221.678,5838.3735,3900.5479,1231.2487,0,5258.032,2390.0093,8389.664,0,0,0,0,0,4038.4097,0,7549.864,0,50.136826,0,0,0,41.49798,0,0,0,4987.0273,0,3897.9805,0,0,0,10077.738,9882.479
480,111.0779372,5.898014,116.183426,88.41857,0,0,208.4447,200.54976,110.55348,104.98538,456.99063,710.1821,348.3457,442.76892,515.77954,627.9173,355.72696,419.34003,435.3354,510.6637,562.7971,535.85925,666.3574,550.4981,471.15445,1432.5479,617.8649,574.87115,730.56964,355.1444,576.0034,553.33527,755.16943,1149.4519,1062.38,781.6959,571.2774,1740.5634,456.85516,769.829,0,0,0,0,1093.044,2380.902,686.804,250.68869,250.63457,505.63776,1330.8505,657.4729,2432.636,0,348.2461,874.82275,295.75305,0,0,0,0,0,679.556,0,598.9059,0,0,0,0,0,0,0,0,0,629.56177,0,415.98993,0,0,0,747.3097,605.58496
