group,filename,sample_id,norm_peak_area
WT_limited,02-HLB_221116_neg_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#1,8.50E-05
WT_limited,02-HLB_221116_neg_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#1,8.43E-05
WT_limited,13-HLB_221116_neg_iaMSMS_01.mzML,mxaF_50nM_Nd2O3_#3,3.63E-05
WT_limited,13-HLB_221116_neg_iaMSMS_02.mzML,mxaF_50nM_Nd2O3_#3,3.73E-05
WT_limited,13-HLB_221116_neg_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#3,3.70E-05
WT_limited,13-HLB_221116_neg_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#3,3.47E-05
WT_limited,14-HLB_221116_neg_iaMSMS_r01.mzML,mxaF_50nM_Nd2O3_#5,6.95E-05
WT_limited,14-HLB_221116_neg_iaMSMS_r02.mzML,mxaF_50nM_Nd2O3_#5,7.37E-05
WT_limited,14-HLB_221116_neg_iaMSMS_r03.mzML,mxaF_50nM_Nd2O3_#5,7.08E-05
WT_limited,14-HLB_221116_neg_iaMSMS_r04.mzML,mxaF_50nM_Nd2O3_#5,6.78E-05
WT_limited,19-HLB_221116_neg_iaMSMS_01.mzML,mxaF_50nM_Nd2O3_#4,4.47E-05
WT_limited,19-HLB_221116_neg_iaMSMS_02.mzML,mxaF_50nM_Nd2O3_#4,3.92E-05
WT_limited,19-HLB_221116_neg_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#4,4.53E-05
WT_limited,19-HLB_221116_neg_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#4,3.55E-05
