filename	samplename	ATTRIBUTE_shorthand
17-HLB_221116_pos_iaMSMS_04.mzML	A7 2uM Nd2O3 #5	overexpression
18-HLB_221116_pos_iaMSMS_01.mzML	A7 2uM Nd2O3 #3 	overexpression
18-HLB_221116_pos_iaMSMS_02.mzML	A7 2uM Nd2O3 #3 	overexpression
18-HLB_221116_pos_iaMSMS_03.mzML	A7 2uM Nd2O3 #3 	overexpression
18-HLB_221116_pos_iaMSMS_04.mzML	A7 2uM Nd2O3 #3 	overexpression
19-HLB_221116_pos_iaMSMS_01.mzML	mxaF 50nM Nd2O3 #4	WT_limited
19-HLB_221116_pos_iaMSMS_02.mzML	mxaF 50nM Nd2O3 #4	WT_limited
19-HLB_221116_pos_iaMSMS_03.mzML	mxaF 50nM Nd2O3 #4	WT_limited
19-HLB_221116_pos_iaMSMS_04.mzML	mxaF 50nM Nd2O3 #4	WT_limited
20-HLB_221116_pos_iaMSMS_01.mzML	A7 2uM Nd2O3 #2 	overexpression
20-HLB_221116_pos_iaMSMS_02.mzML	A7 2uM Nd2O3 #2 	overexpression
20-HLB_221116_pos_iaMSMS_03.mzML	A7 2uM Nd2O3 #2 	overexpression
20-HLB_221116_pos_iaMSMS_04.mzML	A7 2uM Nd2O3 #2 	overexpression
