row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,02-HLB_221116_neg_iaMSMS_04.mzML Peak area,01-HLB_221116_neg_iaMSMS_03.mzML Peak area,01-HLB_221116_neg_iaMSMS_04.mzML Peak area,01-HLB_221116_neg_iaMSMS_02.mzML Peak area,02-HLB_221116_neg_iaMSMS_03.mzML Peak area,02-HLB_221116_neg_iaMSMS_01.mzML Peak area,03-HLB_221116_neg_iaMSMS_04.mzML Peak area,01-HLB_221116_neg_iaMSMS_01.mzML Peak area,02-HLB_221116_neg_iaMSMS_02.mzML Peak area,03-HLB_221116_neg_iaMSMS_03.mzML Peak area,04-HLB_221116_neg_iaMSMS_04.mzML Peak area,04-HLB_221116_neg_iaMSMS_03.mzML Peak area,03-HLB_221116_neg_iaMSMS_01.mzML Peak area,04-HLB_221116_neg_iaMSMS_01.mzML Peak area,03-HLB_221116_neg_iaMSMS_02.mzML Peak area,05-HLB_221116_neg_iaMSMS_03.mzML Peak area,05-HLB_221116_neg_iaMSMS_04.mzML Peak area,06-HLB_221116_neg_iaMSMS_04.mzML Peak area,04-HLB_221116_neg_iaMSMS_02.mzML Peak area,06-HLB_221116_neg_iaMSMS_03.mzML Peak area,05-HLB_221116_neg_iaMSMS_02.mzML Peak area,05-HLB_221116_neg_iaMSMS_01.mzML Peak area,06-HLB_221116_neg_iaMSMS_02.mzML Peak area,07-HLB_221116_neg_iaMSMS_03.mzML Peak area,07-HLB_221116_neg_iaMSMS_04.mzML Peak area,06-HLB_221116_neg_iaMSMS_01.mzML Peak area,07-HLB_221116_neg_iaMSMS_01.mzML Peak area,08-HLB_221116_neg_iaMSMS_04.mzML Peak area,08-HLB_221116_neg_iaMSMS_03.mzML Peak area,07-HLB_221116_neg_iaMSMS_02.mzML Peak area,09-HLB_221116_neg_iaMSMS_04.mzML Peak area,09-HLB_221116_neg_iaMSMS_03.mzML Peak area,08-HLB_221116_neg_iaMSMS_01.mzML Peak area,08-HLB_221116_neg_iaMSMS_02.mzML Peak area,11-HLB_221116_neg_iaMSMS_03.mzML Peak area,11-HLB_221116_neg_iaMSMS_04.mzML Peak area,09-HLB_221116_neg_iaMSMS_02.mzML Peak area,09-HLB_221116_neg_iaMSMS_01.mzML Peak area,10-HLB_221116_neg_iaMSMS_03.mzML Peak area,11-HLB_221116_neg_iaMSMS_01.mzML Peak area,10-HLB_221116_neg_iaMSMS_04.mzML Peak area,12-HLB_221116_neg_iaMSMS_03.mzML Peak area,10-HLB_221116_neg_iaMSMS_01.mzML Peak area,10-HLB_221116_neg_iaMSMS_02.mzML Peak area,11-HLB_221116_neg_iaMSMS_02.mzML Peak area,13-HLB_221116_neg_iaMSMS_03.mzML Peak area,12-HLB_221116_neg_iaMSMS_04.mzML Peak area,13-HLB_221116_neg_iaMSMS_04.mzML Peak area,15-HLB_221116_neg_iaMSMS_04.mzML Peak area,12-HLB_221116_neg_iaMSMS_01.mzML Peak area,14-HLB_221116_neg_iaMSMS_r04.mzML Peak area,13-HLB_221116_neg_iaMSMS_01.mzML Peak area,15-HLB_221116_neg_iaMSMS_03.mzML Peak area,15-HLB_221116_neg_iaMSMS_01.mzML Peak area,13-HLB_221116_neg_iaMSMS_02.mzML Peak area,14-HLB_221116_neg_iaMSMS_r03.mzML Peak area,12-HLB_221116_neg_iaMSMS_02.mzML Peak area,16-HLB_221116_neg_iaMSMS_04.mzML Peak area,15-HLB_221116_neg_iaMSMS_02.mzML Peak area,16-HLB_221116_neg_iaMSMS_03.mzML Peak area,17-HLB_221116_neg_iaMSMS_03.mzML Peak area,17-HLB_221116_neg_iaMSMS_04.mzML Peak area,14-HLB_221116_neg_iaMSMS_r02.mzML Peak area,18-HLB_221116_neg_iaMSMS_04.mzML Peak area,14-HLB_221116_neg_iaMSMS_r01.mzML Peak area,16-HLB_221116_neg_iaMSMS_01.mzML Peak area,19-HLB_221116_neg_iaMSMS_04.mzML Peak area,20-HLB_221116_neg_iaMSMS_04.mzML Peak area,16-HLB_221116_neg_iaMSMS_02.mzML Peak area,20-HLB_221116_neg_iaMSMS_03.mzML Peak area,17-HLB_221116_neg_iaMSMS_02.mzML Peak area,19-HLB_221116_neg_iaMSMS_03.mzML Peak area,20-HLB_221116_neg_iaMSMS_02.mzML Peak area,20-HLB_221116_neg_iaMSMS_01.mzML Peak area,19-HLB_221116_neg_iaMSMS_01.mzML Peak area,19-HLB_221116_neg_iaMSMS_02.mzML Peak area,
16136,103.03957579980319,10.104937,,,,,,,,,,,425.07315,458.20312,385.30786,381.3388,582.04425,519.7881,918.1472,375.65048,533.62103,912.392,615.51117,635.2341,699.9813,547.73145,817.101,1071.6656,1027.4783,896.50183,609.8129,937.36554,1103.6139,1148.2284,821.0001,1514.9382,1643.5753,686.6927,1594.3896,863.0819,845.71936,1579.1118,564.3414,773.0485,761.89197,1054.8932,1194.2133,1298.2502,602.3504,650.0803,1185.8358,1213.5935,1044.135,3058.3552,1216.5812,1024.6279,1228.6284,1259.3776,3308.055,903.8247,18.334389,3094.3643,1501.6853,936.7181,53.842476,19.460901,937.61975,1651.4556,3011.3733,2329.538,22.622494,2361.9685,1620.1627,1651.6797,1681.0983,2175.937,1481.2457,2521.9822,1426.6099,2186.1523,2346.0288,2086.4766,1657.226,1502.7141,2215.6672,2338.4631,1291.3171,1387.8424,
20782,103.03968040069707,11.890106,,,,,,,,,,,719.16473,328.4372,559.005,519.8072,750.7009,419.39612,1223.5696,524.9549,763.81024,1256.7004,969.166,1030.4896,1201.2595,1069.032,1150.9381,1216.6252,1341.3768,1413.3107,1269.323,1442.0486,1229.7972,1187.0868,1428.865,2834.6868,2788.6414,1422.0212,2773.8384,1278.7893,1608.0992,2905.6833,578.73193,1187.3635,1443.2008,1459.5669,2040.9083,1842.9346,1109.7898,1024.4138,1758.1122,2015.1057,1660.376,3414.8247,1694.4479,1643.4677,2085.5696,1820.2917,3362.2844,1687.5171,0,3434.3108,1245.1005,1636.836,18.89304,18.443232,1763.0479,2226.749,3466.8252,3295.1782,25.60912,3325.1638,2405.651,2243.6997,2291.469,3542.6162,2192.904,3363.2214,1191.787,86.89084,3343.1748,150.50134,2350.0322,1403.6265,208.27519,248.78578,1222.7809,1249.9741,
4237,103.03977156381042,7.0608773,,,,,,,,,,,578.4404,382.46753,466.67343,403.80963,769.99396,612.7452,998.7541,477.86066,562.25024,1025.43,903.8781,818.48175,830.22437,920.72205,958.4321,801.9582,753.96277,707.46814,873.1404,755.6779,760.5215,757.511,658.3675,821.2924,869.8,725.40564,888.32184,760.5152,850.96356,851.1235,664.8552,824.995,776.4604,785.62695,3334.498,3235.0508,640.5948,607.7956,1137.7618,3321.522,1084.8772,2858.1023,1235.1403,1091.9991,3176.9688,793.60254,2796.7292,910.6131,25.74606,2809.011,1518.249,956.17535,0,26.060818,921.2784,1519.6283,2755.8857,10425.167,29.806286,10380.707,6537.1064,6457.712,1558.7051,4900.03,1496.6531,10161.203,1476.1779,4535.233,10053.448,3809.4412,6279.156,1708.0356,4031.2512,4095.722,1801.8046,1639.1141,
10801,103.04023233648455,9.088928,,,,,,,,,,,41050.25,37406.273,37359.758,37480.05,41199.953,40021.973,76347.195,36898.277,39547.195,74768.52,53952.02,58668.867,73587.29,57551.492,73628.42,91364.984,86666.266,67651.664,57394.605,67445.97,89151.45,89260.47,66262.96,118907.5,107214.56,66133.64,115787.71,69501.17,69990.43,114675.28,55319.746,54549.984,73510.836,75310.66,114788.34,117957.72,53533.863,53888.348,98085.85,111145.61,90387.13,193268.89,96365.914,95557.51,111397.25,82540.72,173206.89,82894.09,36.935852,185129.23,134658.8,80062.26,46.83454,10.232779,80551.15,123504.7,182871.89,210696.73,21.279488,205872.45,135809.64,138095.08,130941.5,206198.12,128165.71,201237.7,127800.97,167029.14,196062.84,168986.78,134801.25,116374.13,163665.39,167464.62,123411.43,123773.03,
17567,103.04031603579905,10.605345,,,,,,,,,,,5592.932,3929.328,4095.135,3997.8875,5465.926,5006.4434,8353.405,3884.9192,5233.809,8581.201,8206.195,8371.837,8603.153,8094.7114,8470.32,10490.726,10778.097,11144.557,8249.084,10896.8955,10596.274,10796.32,10679.838,22135.055,22132.717,10624.428,21487.535,11615.091,11708.586,21943.908,8369.206,8583.224,11488.027,11454.154,15678.162,15195.425,8295.151,8330.693,14950.014,15294.569,15027.626,31682.818,14394.7705,14738.226,15268.247,12749.02,31875.95,11900.869,0,30520.164,19886.727,12131.702,0,35.55714,11734.304,19753.453,30834.912,30034.707,44.196877,29883.09,16538.955,16536.658,19100.506,28220.836,18327.94,29238.139,13729.026,5341.6694,28421.963,5580.0127,16505.094,13165.924,5039.306,5325.991,13045.897,13186.241,
8472,103.04045916798195,8.261335,,,,,,,,,,,153.4769,104.09408,100.574326,87.97429,111.530945,146.1014,184.72162,141.11566,124.74559,190.85919,205.19766,132.34293,214.45314,106.566696,207.06813,316.28595,273.68277,195.3248,95.01239,195.68698,240.33292,278.50644,194.72656,268.3728,337.45087,183.14256,294.71808,101.680466,151.9462,363.00977,194.61224,108.48322,147.68872,214.73264,211.7791,267.1063,139.93752,101.65013,456.05133,184.7646,377.50726,1112.3843,320.3871,312.83044,238.93375,228.36646,1066.2996,259.91806,0,1064.7179,444.4058,181.93623,0,0,201.76062,403.88852,1107.4492,265.4232,29.991776,217.26108,249.23155,235.67325,486.41223,240.87405,445.065,268.82996,469.66324,345.7606,254.56729,325.8915,232.53108,385.67618,364.21185,396.13495,342.4933,363.57312,
8715,103.05290146586758,8.331826,,,,,,,,,,,105.34151,273.08463,237.24664,220.08379,97.243935,102.1023,120.40568,212.25725,85.41109,55.66072,105.7177,162.59303,63.44007,129.35527,37.96067,172.78815,195.93118,230.79352,160.1915,163.37982,199.35228,128.52579,94.52749,134.94855,279.76947,212.74988,249.39357,263.8595,189.43123,204.00508,211.35738,278.3962,188.5069,221.85008,710.5281,758.6586,201.1423,238.75522,97.040634,621.6378,117.60223,256.4476,70.34654,62.360832,545.9957,161.76764,195.26459,107.60673,134.90918,241.33391,216.93358,143.38722,182.13268,42.328537,101.48399,66.72464,208.06119,789.6031,44.62657,952.93805,972.6928,952.86664,106.81989,814.76953,206.05293,932.6151,687.90436,1131.0267,864.0051,1079.758,1039.4757,741.42053,945.66986,1016.14,728.579,737.96814,
5225,103.05354919519854,7.4329915,,,,,,,,,,,0,0,0,19.217957,0,9.908016,0,0,0,0,0,23.977024,0,0,0,0,0,0,24.90823,0,0,7.0911374,0,27.33581,26.857864,0,10.750587,0,0,9.837406,0,0,0,15.716972,107.50427,133.74931,11.96023,8.812413,26.154213,34.97708,52.133297,35.551743,88.84482,29.749012,138.96709,0,56.148666,0,0,27.03329,0,11.56859,23.306713,0,0,14.839067,19.463074,529.077,0,427.62558,241.35725,263.54434,6.1982617,110.15538,11.81712,477.12173,358.21347,127.12791,515.7521,86.94656,189.82259,367.37732,135.02348,131.79727,379.62424,323.8395,
11811,104.0433701419449,9.247631,,,,,,,,,,,60.817467,97.90381,63.52746,91.44828,148.01367,106.131905,217.82845,62.5495,76.708206,275.49277,172.06148,143.3591,204.31207,140.26671,185.14607,265.9248,350.54965,270.2242,181.44731,221.56203,268.3801,250.2412,229.039,574.8204,471.56876,288.0576,463.05914,205.9816,249.32872,495.98743,230.93512,163.32002,274.1629,211.446,260.60095,172.21118,194.63234,187.29999,344.5717,195.65715,365.80313,940.73145,376.15396,357.21826,227.92938,330.64667,885.83453,267.5224,0,838.0325,502.46313,215.93713,0,0,236.5872,496.6023,844.189,465.5816,0,395.73557,178.92192,222.91263,467.18155,10214.706,572.2744,443.291,462.0622,441.2546,415.55444,406.9711,157.00363,381.55753,435.2422,338.73917,469.83615,480.0979,
42131,108.00665090910339,20.049622,,,,,,,,,,,763.7491,2169.5283,2676.598,1062.7219,439.0825,339.4865,5243.37,1449.6837,463.53912,785.10626,469.0432,2364.757,892.84174,871.96967,472.1577,454.42892,3604.6296,630.47705,1752.2214,4124.773,384.71396,696.8748,272.55832,896.2442,0,267.03058,414.37994,896.3429,336.08585,842.855,1230.9806,469.32626,533.1357,709.74756,851.3027,0,4007.2979,1427.7142,2080.1555,907.24396,4174.595,7753.534,1980.6088,2041.5239,677.7116,5191.4834,4938.936,513.31024,2933.4648,3431.761,1770.1844,860.1072,1002.33276,1524.8115,717.27985,0,520.0383,377.53183,874.1408,340.85315,435.8582,722.6434,2789.1826,440.31903,2352.2415,1704.3807,626.21576,589.60834,474.24493,898.90826,431.97247,2023.2135,1065.3242,251.78622,840.5935,949.26855,
