"","filename","sample_name","ATTRIBUTE_shorthand"
"23","06-HLB_221116_neg_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#4","WT"
"24","07-HLB_221116_neg_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#2","WT"
"25","07-HLB_221116_neg_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#2","WT"
"26","07-HLB_221116_neg_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#2","WT"
"27","07-HLB_221116_neg_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#2","WT"
"28","08-HLB_221116_neg_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#5","WT"
"29","08-HLB_221116_neg_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#5","WT"
"30","08-HLB_221116_neg_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#5","WT"
"31","08-HLB_221116_neg_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#5","WT"
"32","09-HLB_221116_neg_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#3","WT"
"33","09-HLB_221116_neg_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#3","WT"
"34","09-HLB_221116_neg_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#3","WT"
"35","09-HLB_221116_neg_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#3","WT"
"36","10-HLB_221116_neg_iaMSMS_01.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"37","10-HLB_221116_neg_iaMSMS_02.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"38","10-HLB_221116_neg_iaMSMS_03.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"39","10-HLB_221116_neg_iaMSMS_04.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"40","11-HLB_221116_neg_iaMSMS_01.mzML","A7_2uM_Nd2O3_#4","overexpression"
"41","11-HLB_221116_neg_iaMSMS_02.mzML","A7_2uM_Nd2O3_#4","overexpression"
"42","11-HLB_221116_neg_iaMSMS_03.mzML","A7_2uM_Nd2O3_#4","overexpression"
"43","11-HLB_221116_neg_iaMSMS_04.mzML","A7_2uM_Nd2O3_#4","overexpression"
"44","12-HLB_221116_neg_iaMSMS_01.mzML","mxaF_LCC_2uM_Nd2O3_#3","KO"
