"","filename","samplename","ATTRIBUTE_shorthand"
"62","16-HLB_221116_pos_iaMSMS_02.mzML","A7_2uM_Nd2O3_#1","overexpression"
"63","16-HLB_221116_pos_iaMSMS_03.mzML","A7_2uM_Nd2O3_#1","overexpression"
"64","16-HLB_221116_pos_iaMSMS_04.mzML","A7_2uM_Nd2O3_#1","overexpression"
"65","17-HLB_221116_pos_iaMSMS_01.mzML","A7_2uM_Nd2O3_#5","overexpression"
"66","17-HLB_221116_pos_iaMSMS_02.mzML","A7_2uM_Nd2O3_#5","overexpression"
"67","17-HLB_221116_pos_iaMSMS_03.mzML","A7_2uM_Nd2O3_#5","overexpression"
"68","17-HLB_221116_pos_iaMSMS_04.mzML","A7_2uM_Nd2O3_#5","overexpression"
"69","18-HLB_221116_pos_iaMSMS_01.mzML","A7_2uM_Nd2O3_#3","overexpression"
"70","18-HLB_221116_pos_iaMSMS_02.mzML","A7_2uM_Nd2O3_#3","overexpression"
"71","18-HLB_221116_pos_iaMSMS_03.mzML","A7_2uM_Nd2O3_#3","overexpression"
"72","18-HLB_221116_pos_iaMSMS_04.mzML","A7_2uM_Nd2O3_#3","overexpression"
"73","19-HLB_221116_pos_iaMSMS_01.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"74","19-HLB_221116_pos_iaMSMS_02.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"75","19-HLB_221116_pos_iaMSMS_03.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"76","19-HLB_221116_pos_iaMSMS_04.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"77","20-HLB_221116_pos_iaMSMS_01.mzML","A7_2uM_Nd2O3_#2","overexpression"
"78","20-HLB_221116_pos_iaMSMS_02.mzML","A7_2uM_Nd2O3_#2","overexpression"
"79","20-HLB_221116_pos_iaMSMS_03.mzML","A7_2uM_Nd2O3_#2","overexpression"
"80","20-HLB_221116_pos_iaMSMS_04.mzML","A7_2uM_Nd2O3_#2","overexpression"
