filename,samplename,ATTRIBUTE_shorthand
15-HLB_221116_pos_iaMSMS_02.mzML,media_blank,media
15-HLB_221116_pos_iaMSMS_03.mzML,media_blank,media
15-HLB_221116_pos_iaMSMS_04.mzML,media_blank,media
16-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#1,overexpression
16-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#1,overexpression
16-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#1,overexpression
16-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#1,overexpression
17-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#5,overexpression
17-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#5,overexpression
17-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#5,overexpression
17-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#5,overexpression
18-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#3,overexpression
18-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#3,overexpression
18-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#3,overexpression
18-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#3,overexpression
19-HLB_221116_pos_iaMSMS_01.mzML,mxaF_50nM_Nd2O3_#4,WT_limited
19-HLB_221116_pos_iaMSMS_02.mzML,mxaF_50nM_Nd2O3_#4,WT_limited
19-HLB_221116_pos_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#4,WT_limited
19-HLB_221116_pos_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#4,WT_limited
20-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#2,overexpression
20-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#2,overexpression
20-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#2,overexpression
20-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#2,overexpression
